,brand,model
605,ulefone,armor x9
606,xiaomi,redmi note 11
607,oppo,reno6
608,cubot,p80
609,xiaomi,redmi 10
610,xiaomi,redmi note 10
611,apple,iphone 12
612,google,pixel 6a
613,oppo,a54
614,apple,iphone 13
615,apple,iphone 14
616,oppo,a16s
617,samsung,galaxy a13
618,samsung,galaxy a53
619,xiaomi,12
620,apple,iphone 12
621,oppo,x5
622,xiaomi,redmi 12c
623,xiaomi,11 pro
624,apple,iphone 11
625,samsung,galaxy note 10
626,xiaomi,redmi note 9t
627,apple,iphone 11
628,xiaomi,11t
629,xiaomi,mi 8
630,apple,iphone 11
631,apple,iphone x
632,realme,gt neo 2
633,samsung,galaxy a13
634,cubot,p80
635,samsung,galaxy a33
636,xiaomi,redmi 10
637,xiaomi,redmi 9a
638,samsung,galaxy a41
639,samsung,galaxy s10
640,apple,iphone 11
641,poco,f5
642,motorola,moto g52
643,apple,iphone 13
644,apple,iphone xr
645,samsung,galaxy z fold4
646,apple,iphone 12
647,cubot,x70
648,oppo,a74
649,samsung,galaxy s23
650,apple,iphone 12
651,xiaomi,13
652,xiaomi,pocophone f3
653,apple,iphone 13
654,oppo,x5
655,apple,iphone 11
656,apple,iphone 14
657,motorola,moto g62
658,apple,iphone 11
659,samsung,galaxy a53
660,samsung,galaxy a52
661,samsung,galaxy z fold4
662,samsung,galaxy a13
663,tcl,305i
664,xiaomi,redmi 10c
665,samsung,galaxy s21
666,samsung,galaxy s20
667,xiaomi,13
668,samsung,galaxy a40
669,samsung,galaxy s21
670,oppo,reno8
671,samsung,galaxy note 20
672,apple,iphone 13
673,xiaomi,redmi 9c
674,google,pixel 4a
675,oppo,a76
676,samsung,galaxy a13
677,apple,iphone 13
678,apple,iphone 13
679,apple,iphone 13
680,samsung,galaxy s23
681,samsung,galaxy z fold4
682,xiaomi,12t
683,realme,gt neo 3
684,apple,iphone 7
685,honor,70
686,apple,iphone 14
687,apple,iphone 8
688,apple,iphone 8
689,poco,m4
690,samsung,galaxy s21
691,apple,iphone 8
692,apple,iphone 11
693,realme,gt master edition
694,samsung,galaxy s20
695,poco,f5
696,apple,iphone xs
697,honor,magic5
698,xiaomi,shark 5
699,samsung,galaxy a14
700,samsung,s10+
701,xiaomi,redmi 9c
702,poco,m5
703,apple,iphone 12
704,samsung,galaxy s20
705,apple,iphone 14
706,xiaomi,note 10s
707,google,pixel 6
708,oppo,reno8
709,apple,iphone 11
710,apple,iphone 14
711,xiaomi,redmi note 11s
712,poco,m4
713,xiaomi,pocophone f3
714,xiaomi,redmi 9c
715,oppo,x3
716,samsung,galaxy z fold4
717,xiaomi,redmi 10
718,huawei,p40
719,xiaomi,redmi 10
720,apple,iphone 8
721,apple,iphone 12
722,apple,iphone 8
723,xiaomi,redmi a2
724,realme,c35
725,motorola,edge 30
726,poco,f5
727,samsung,galaxy a53
728,xiaomi,redmi note 10
729,apple,iphone 7
730,xiaomi,x3
731,xiaomi,redmi 10a
